iter	Passed	Remaining
0	141	141618
1	142	71267
2	144	47936
3	145	36239
4	146	29241
5	148	24575
6	149	21222
7	150	18695
8	151	16717
9	153	15163
10	155	13989
11	157	12947
12	158	12021
13	159	11224
14	160	10534
15	161	9927
16	162	9394
17	163	8916
18	164	8489
19	165	8121
20	166	7778
21	167	7463
22	169	7186
23	170	6924
24	171	6706
25	173	6491
26	174	6285
27	175	6107
28	177	5929
29	178	5763
30	179	5602
31	180	5463
32	181	5330
33	183	5199
34	184	5080
35	186	4985
36	187	4886
37	189	4795
38	190	4693
39	191	4595
40	192	4504
41	193	4420
42	194	4339
43	196	4269
44	197	4200
45	199	4128
46	200	4058
47	201	4002
48	202	3938
49	204	3878
50	205	3818
51	206	3769
52	208	3718
53	209	3664
54	210	3615
55	211	3566
56	212	3517
57	213	3471
58	214	3427
59	216	3386
60	217	3349
61	218	3311
62	220	3273
63	221	3232
64	222	3199
65	223	3164
66	224	3130
67	225	3096
68	227	3066
69	229	3044
70	230	3013
71	232	2994
72	233	2966
73	234	2938
74	236	2912
75	237	2886
76	240	2878
77	241	2855
78	242	2832
79	244	2815
80	246	2793
81	248	2779
82	248	2750
83	250	2732
84	251	2709
85	253	2693
86	254	2672
87	255	2650
88	257	2633
89	258	2615
90	259	2595
91	261	2582
92	262	2564
93	264	2550
94	265	2531
95	267	2520
96	269	2505
97	270	2488
98	271	2475
99	273	2457
100	274	2445
101	276	2431
102	277	2418
103	279	2408
104	281	2397
105	282	2382
106	284	2371
107	285	2359
108	287	2348
109	288	2337
110	290	2324
111	291	2311
112	293	2301
113	294	2289
114	296	2279
115	297	2266
116	298	2254
117	300	2247
118	302	2241
119	304	2231
120	309	2248
121	310	2237
122	315	2247
123	316	2236
124	317	2225
125	319	2217
126	320	2205
127	321	2193
128	324	2190
129	325	2178
130	326	2166
131	328	2161
132	330	2154
133	331	2143
134	334	2140
135	335	2130
136	336	2119
137	337	2108
138	339	2104
139	340	2093
140	342	2083
141	342	2072
142	344	2062
143	345	2053
144	346	2045
145	348	2038
146	349	2029
147	350	2020
148	351	2009
149	352	1999
150	354	1991
151	355	1983
152	356	1973
153	357	1964
154	359	1957
155	360	1949
156	361	1942
157	362	1933
158	363	1925
159	365	1916
160	365	1905
161	366	1897
162	367	1889
163	369	1881
164	370	1873
165	371	1865
166	372	1857
167	373	1849
168	374	1841
169	375	1834
170	376	1826
171	377	1819
172	378	1811
173	380	1804
174	381	1798
175	382	1791
176	384	1786
177	385	1778
178	386	1771
179	387	1764
180	388	1758
181	390	1753
182	391	1749
183	393	1743
184	394	1737
185	395	1730
186	396	1723
187	397	1717
188	399	1713
189	400	1707
190	401	1701
191	402	1695
192	403	1688
193	404	1682
194	406	1676
195	407	1670
196	408	1665
197	409	1658
198	410	1652
199	411	1647
200	412	1641
201	415	1640
202	416	1635
